duration,src_bytes,dst_bytes,count,srv_count,log_src_bytes
0,491,0,2,2,6.198478716492308
0,146,0,13,1,4.990432586778736
0,0,0,123,6,0.0
0,232,8153,5,5,5.4510384535657
0,199,420,30,32,5.298317366548036
0,0,0,121,19,0.0
0,0,0,166,9,0.0
0,0,0,117,16,0.0
0,0,0,270,23,0.0
0,0,0,133,8,0.0
0,0,0,205,12,0.0
0,0,0,199,3,0.0
0,287,2251,3,7,5.662960480135946
0,334,0,2,2,5.814130531825066
0,0,0,233,1,0.0
0,0,0,96,16,0.0
0,300,13788,8,9,5.707110264748875
0,18,0,1,1,2.9444389791664403
0,233,616,3,3,5.455321115357702
0,343,1178,9,10,5.840641657373398
0,0,0,223,23,0.0
0,0,0,280,17,0.0
0,253,11905,8,10,5.537334267018537
5607,147,105,1,1,4.997212273764115
0,0,0,248,2,0.0
507,437,14421,1,1,6.082218910376446
0,0,0,279,7,0.0
0,227,6588,5,22,5.429345628954441
0,215,10499,14,14,5.375278407684165
0,241,1400,33,33,5.488937726156687
0,8,0,1,12,2.1972245773362196
0,0,0,57,16,0.0
0,303,555,9,9,5.717027701406222
0,0,0,2,1,0.0
0,45,45,181,181,3.828641396489095
1,105,147,2,2,4.663439094112067
0,43,43,122,202,3.784189633918261
0,0,0,205,17,0.0
0,324,2302,22,28,5.783825182329737
0,0,0,228,13,0.0
0,0,0,50,11,0.0
0,0,0,262,12,0.0
2,1591,372,1,2,7.3727463664043285
9052,146,105,4,2,4.990432586778736
0,290,3006,11,11,5.673323267171493
0,0,0,108,11,0.0
0,28,0,80,80,3.367295829986474
0,255,861,44,44,5.545177444479562
0,334,0,2,2,5.814130531825066
0,0,0,258,17,0.0
0,302,498,10,10,5.713732805509369
0,0,0,61,4,0.0
0,28,0,2,2,3.367295829986474
0,220,1398,26,42,5.3981627015177525
0,43,69,120,120,3.784189633918261
0,44,133,73,75,3.8066624897703196
0,8,0,1,15,2.1972245773362196
0,0,0,135,9,0.0
0,0,0,24,12,0.0
0,43,43,148,228,3.784189633918261
0,641,0,2,2,6.464588303689961
0,0,0,206,4,0.0
0,0,0,175,1,0.0
0,310,2794,4,4,5.739792912179234
0,0,0,63,10,0.0
0,696,333,1,1,6.546785410760524
0,0,0,1,1,0.0
0,0,0,52,19,0.0
0,0,0,125,7,0.0
0,0,0,168,21,0.0
0,221,2878,1,1,5.402677381872279
0,0,0,145,16,0.0
0,181,0,3,2,5.204006687076795
0,42,42,9,14,3.7612001156935624
0,0,0,138,6,0.0
0,12,0,1,1,2.5649493574615367
0,0,0,276,9,0.0
0,210,2790,10,27,5.351858133476067
0,321,5683,10,10,5.7745515455444085
0,0,0,248,8,0.0
0,329,3982,2,31,5.799092654460526
0,0,0,135,7,0.0
0,0,0,220,19,0.0
0,8,0,1,44,2.1972245773362196
0,320,379,9,9,5.771441123130016
0,0,0,212,7,0.0
0,225,3762,10,10,5.420534999272286
0,0,0,250,13,0.0
0,0,0,132,15,0.0
315,146,105,3,2,4.990432586778736
0,247,1416,11,11,5.5134287461649825
0,353,1483,3,9,5.869296913133774
0,44,44,109,189,3.8066624897703196
0,0,0,146,18,0.0
0,0,0,300,6,0.0
2,3065,331,1,2,8.028129059431759
0,102,102,1,1,4.634728988229636
0,259,750,4,5,5.560681631015528
1082,147,105,2,2,4.997212273764115
0,0,0,129,16,0.0
0,0,354,32,32,0.0
0,309,306,1,1,5.736572297479192
0,0,0,1,2,0.0
0,278,7227,3,3,5.631211781821365
0,28,0,82,82,3.367295829986474
0,313,761,1,1,5.749392985908253
0,219,1212,15,15,5.393627546352362
0,245,9165,2,3,5.5053315359323625
0,328,2243,21,21,5.796057750765372
0,0,0,1,1,0.0
0,251,301,3,7,5.529429087511423
0,2089,335,2,2,7.644919344958857
0,0,0,1,1,0.0
0,237,511,1,1,5.472270673671475
0,324,431,4,5,5.783825182329737
25950,1,0,2,2,0.6931471805599453
0,0,0,110,17,0.0
0,105,145,4,1,4.663439094112067
